"x [nm]","y [nm]"
5462.52535,2819.35056
5449.2007,2839.33982
5458.37433,2837.64403
5454.83877,2834.83004
5461.49577,2835.1478
2063.49011,3822.90897
2064.02943,3830.46093
2697.53598,2523.42807
5453.84352,2822.98914
2695.76223,2527.77576
5462.51334,2834.48962
2113.18927,2229.67824
5456.70149,2831.9082
5448.77829,2832.1706
3396.26239,2466.27662
1611.54133,4645.51411
1612.15485,4640.43555
4149.74198,2564.99705
1612.21565,4645.02742
4164.99562,2563.27008
4711.91117,2541.82889
1614.41794,4640.94403
4145.89263,2566.7061
4719.21423,2536.68996
4154.66398,2569.02687
5225.5858,2722.03831
5212.65295,2701.05668
5217.67955,2713.30851
4557.76071,2517.2456
4560.22889,2507.09111
4549.9733,2512.82471
2112.1709,3808.60897
4556.27983,2510.20706
2491.7755,2879.33247
1953.07753,4005.15869
2487.10124,2897.61698
3484.74093,1307.90905
1571.82003,5101.75379
3567.0475,782.81518
3573.92655,786.02452
3081.04541,2403.50144
3071.55575,2412.38603
3068.48805,2393.81794
3072.61154,2419.63612
1668.59551,4477.66494
3069.23566,2402.32674
1655.97543,4489.23725
5825.81465,3084.38159
1892.85583,2166.07229
4902.66983,2630.78444
1891.62038,2176.1349
2239.34777,3630.61793
5244.01753,2710.16182
2241.04883,3624.38315
5239.08602,2710.15345
2242.74587,3620.22364
1897.24532,2166.2546
5318.55931,2727.96608
2309.94285,3229.99916
5492.56433,2814.25243
5640.84872,2875.08966
5764.61849,2991.47519
5752.71317,2993.44183
4559.01592,2536.20169
5761.59771,3042.82872
5763.19178,3048.76116
5796.55123,3081.21327
5827.83944,3107.10472
5826.19086,3119.74689
5837.02562,3105.54334
3876.23398,2452.16544
1528.67389,1941.24814
3880.4291,2451.38683
2026.05108,3707.63398
2036.98216,3701.6121
2049.33356,3702.83424
1490.03608,5130.79841
1488.11449,5130.11692
2701.3727,2499.81076
2708.56512,2494.66788
5490.6415,2831.17776
5427.04867,2771.03092
5426.14798,2778.03344
1488.70153,5103.29856
2322.67145,3192.83066
1492.1802,5096.37491
2326.24523,3189.3866
1493.77589,5095.42019
2326.6498,3191.47897
4637.59088,2513.85601
2323.99033,3172.24249
